2020-05-07,2018-04,12670
2020-05-07,2018-05,31547
2020-05-07,2018-06,30142
2020-05-07,2018-07,30254
2020-05-07,2018-08,30953
2020-05-07,2018-09,28465
2020-05-07,2018-10,31055
2020-05-07,2018-11,32473
2020-05-07,2018-12,34208
2020-05-07,2019-01,42033
2020-05-07,2019-02,35570
2020-05-07,2019-03,35049
2020-05-07,2019-04,32268
2020-05-07,2019-05,32080
2020-05-07,2019-06,29907
2020-05-07,2019-07,31444
2020-05-07,2019-08,29712
2020-05-07,2019-09,28220
2020-05-07,2019-10,30974
2020-05-07,2019-11,32848
2020-05-07,2019-12,34145
2020-05-07,2020-01,40683
2020-05-07,2020-02,34543
2020-05-07,2020-03,48753
2020-05-07,2020-04,50223
2020-05-07,2020-05,6756
2020-05-23,2018-05,27559
2020-05-23,2018-06,30142
2020-05-23,2018-07,30254
2020-05-23,2018-08,30953
2020-05-23,2018-09,28465
2020-05-23,2018-10,31055
2020-05-23,2018-11,32473
2020-05-23,2018-12,34208
2020-05-23,2019-01,42033
2020-05-23,2019-02,35570
2020-05-23,2019-03,35049
2020-05-23,2019-04,32268
2020-05-23,2019-05,32080
2020-05-23,2019-06,29907
2020-05-23,2019-07,31444
2020-05-23,2019-08,29712
2020-05-23,2019-09,28220
2020-05-23,2019-10,30974
2020-05-23,2019-11,32848
2020-05-23,2019-12,34145
2020-05-23,2020-01,40683
2020-05-23,2020-02,34543
2020-05-23,2020-03,48753
2020-05-23,2020-04,50070
2020-05-23,2020-05,23843
2020-05-27,2018-05,23357
2020-05-27,2018-06,30142
2020-05-27,2018-07,30254
2020-05-27,2018-08,30953
2020-05-27,2018-09,28465
2020-05-27,2018-10,31055
2020-05-27,2018-11,32473
2020-05-27,2018-12,34208
2020-05-27,2019-01,42033
2020-05-27,2019-02,35570
2020-05-27,2019-03,35049
2020-05-27,2019-04,32268
2020-05-27,2019-05,32080
2020-05-27,2019-06,29907
2020-05-27,2019-07,31444
2020-05-27,2019-08,29712
2020-05-27,2019-09,28220
2020-05-27,2019-10,30974
2020-05-27,2019-11,32848
2020-05-27,2019-12,34145
2020-05-27,2020-01,40683
2020-05-27,2020-02,34565
2020-05-27,2020-03,54417
2020-05-27,2020-04,56261
2020-05-27,2020-05,28513
2020-05-30,2018-05,20431
2020-05-30,2018-06,30389
2020-05-30,2018-07,30595
2020-05-30,2018-08,31457
2020-05-30,2018-09,28824
2020-05-30,2018-10,31278
2020-05-30,2018-11,32750
2020-05-30,2018-12,35339
2020-05-30,2019-01,42034
2020-05-30,2019-02,35571
2020-05-30,2019-03,35052
2020-05-30,2019-04,32273
2020-05-30,2019-05,32084
2020-05-30,2019-06,29915
2020-05-30,2019-07,31454
2020-05-30,2019-08,29718
2020-05-30,2019-09,28229
2020-05-30,2019-10,30989
2020-05-30,2019-11,32865
2020-05-30,2019-12,34155
2020-05-30,2020-01,40697
2020-05-30,2020-02,34584
2020-05-30,2020-03,54451
2020-05-30,2020-04,56291
2020-05-30,2020-05,31878
2021-04-20,2019-04,31160
2021-04-20,2019-05,32084
2021-04-20,2019-06,29915
2021-04-20,2019-07,31454
2021-04-20,2019-08,29718
2021-04-20,2019-09,28229
2021-04-20,2019-10,30989
2021-04-20,2019-11,32865
2021-04-20,2019-12,34155
2021-04-20,2020-01,40697
2021-04-20,2020-02,34584
2021-04-20,2020-03,54498
2021-04-20,2020-04,56419
2021-04-20,2020-05,33181
2021-04-20,2020-06,29101
2021-04-20,2020-07,32788
2021-04-20,2020-08,34034
2021-04-20,2020-09,32794
2021-04-20,2020-10,37738
2021-04-20,2020-11,40242
2021-04-20,2020-12,39791
2021-04-20,2021-01,49703
2021-04-20,2021-02,38622
2021-04-20,2021-03,35185
2021-04-20,2021-04,21449
2021-04-21,2019-04,30534
2021-04-21,2019-05,32361
2021-04-21,2019-06,30291
2021-04-21,2019-07,31863
2021-04-21,2019-08,30118
2021-04-21,2019-09,28565
2021-04-21,2019-10,31318
2021-04-21,2019-11,33242
2021-04-21,2019-12,35242
2021-04-21,2020-01,40699
2021-04-21,2020-02,34586
2021-04-21,2020-03,54498
2021-04-21,2020-04,56426
2021-04-21,2020-05,33184
2021-04-21,2020-06,29105
2021-04-21,2020-07,32799
2021-04-21,2020-08,34038
2021-04-21,2020-09,32802
2021-04-21,2020-10,37760
2021-04-21,2020-11,40276
2021-04-21,2020-12,39831
2021-04-21,2021-01,49737
2021-04-21,2021-02,38652
2021-04-21,2021-03,35253
2021-04-21,2021-04,22818
2021-05-29,2019-05,21710
2021-05-29,2019-06,30291
2021-05-29,2019-07,31863
2021-05-29,2019-08,30118
2021-05-29,2019-09,28565
2021-05-29,2019-10,31318
2021-05-29,2019-11,33242
2021-05-29,2019-12,35242
2021-05-29,2020-01,40699
2021-05-29,2020-02,34586
2021-05-29,2020-03,54498
2021-05-29,2020-04,56426
2021-05-29,2020-05,33184
2021-05-29,2020-06,29105
2021-05-29,2020-07,32799
2021-05-29,2020-08,34038
2021-05-29,2020-09,32802
2021-05-29,2020-10,37760
2021-05-29,2020-11,40276
2021-05-29,2020-12,39831
2021-05-29,2021-01,49737
2021-05-29,2021-02,38669
2021-05-29,2021-03,35112
2021-05-29,2021-04,32790
2021-05-29,2021-05,30505
